epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,4859.24,0.97912,1.36081,1.31146,1.08335,0,0.40434,0.4613,0.39237,0.26075,0.40602,0.45126,0.38584,0.21706,1.2044,1.64834,1.92463,1.265,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4963.02,0.97189,1.35182,1.27827,1.07787,0,0.43234,0.45097,0.41985,0.26723,0.4339,0.44782,0.41267,0.22482,1.21875,1.6406,1.89977,1.29226,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5065.01,0.96413,1.33644,1.26555,1.07897,0,0.38217,0.5093,0.41473,0.27182,0.37983,0.49958,0.4068,0.23318,1.21013,1.62814,1.91277,1.28972,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,5172.65,0.94732,1.33443,1.24739,1.06088,0,0.38533,0.47421,0.40851,0.26249,0.37846,0.46584,0.39478,0.22148,1.20238,1.67465,1.89517,1.29732,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5281.92,0.95,1.29878,1.22628,1.06683,0,0.32111,0.50614,0.39598,0.26112,0.29956,0.48197,0.37721,0.22297,1.18902,1.62601,1.97169,1.25783,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5391.24,0.94236,1.30602,1.20334,1.05614,0,0.3709,0.49561,0.41171,0.27306,0.36708,0.48103,0.40353,0.23109,1.17873,1.60082,1.89956,1.25447,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5501.1,0.92386,1.28607,1.19373,1.05769,0,0.47262,0.42679,0.42343,0.28119,0.47068,0.42426,0.41497,0.23968,1.19053,1.63362,1.91833,1.2875,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5635.15,0.93082,1.30729,1.17613,1.0621,0,0.41653,0.45913,0.43907,0.2816,0.41152,0.45291,0.43272,0.23708,1.20658,1.6349,1.87092,1.29892,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5749.87,0.92279,1.2924,1.1657,1.04162,0,0.33957,0.54172,0.44024,0.29204,0.33348,0.52602,0.42324,0.24548,1.19202,1.64839,1.98283,1.26982,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5864.35,0.90555,1.28544,1.11929,1.0456,0,0.41467,0.48376,0.4315,0.28151,0.40077,0.47403,0.40897,0.23934,1.19302,1.66351,1.91904,1.27521,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5978.28,0.9081,1.26831,1.11726,1.04187,0,0.39715,0.50314,0.42286,0.28342,0.399,0.50201,0.41823,0.23915,1.18215,1.64437,1.86339,1.27189,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6095.64,0.905,1.27041,1.09726,1.04118,0,0.42396,0.5191,0.45362,0.3032,0.42496,0.5021,0.44047,0.24819,1.15767,1.67613,1.87355,1.25741,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6201.31,0.88907,1.26174,1.08293,1.03257,0,0.38546,0.46348,0.43499,0.29094,0.41638,0.43592,0.42141,0.23966,1.15883,1.64457,1.91891,1.27373,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6305.73,0.87903,1.22668,1.06939,1.03355,0,0.49962,0.45056,0.4464,0.29702,0.49507,0.43959,0.43328,0.24829,1.19733,1.68948,1.86121,1.30553,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6413.88,0.89292,1.25002,1.06239,1.03543,0,0.40094,0.50299,0.4395,0.29706,0.41328,0.47542,0.43272,0.24631,1.14926,1.66573,1.85818,1.25976,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6525.33,0.88465,1.24099,1.07418,1.02747,0,0.41118,0.43276,0.41457,0.27955,0.41645,0.4089,0.40879,0.23235,1.18212,1.65212,1.99427,1.27591,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6633.53,0.86886,1.22125,1.03169,1.02553,0,0.46267,0.41551,0.40571,0.27572,0.4602,0.41163,0.40391,0.2301,1.1669,1.6507,1.95983,1.26469,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6741.55,0.85811,1.2188,1.0195,1.02385,0,0.42396,0.50374,0.43098,0.28976,0.42836,0.46338,0.41155,0.24495,1.2033,1.64546,2.03037,1.28956,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6853.74,0.8558,1.205,0.99386,1.0238,0,0.43079,0.43196,0.43195,0.27931,0.4407,0.42229,0.42293,0.24622,1.15704,1.64551,1.95789,1.26636,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6959.52,0.85124,1.19475,0.99159,1.0182,0,0.44203,0.48577,0.44284,0.29959,0.43627,0.46518,0.42813,0.25436,1.17592,1.70344,2.00056,1.27782,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,7067.7,0.85221,1.2152,0.97946,1.01429,0,0.43559,0.45717,0.44876,0.3111,0.42603,0.46657,0.44547,0.24911,1.16738,1.69635,1.94112,1.27916,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,7172.39,0.84414,1.21877,0.98891,1.00522,0,0.41914,0.46672,0.44563,0.29273,0.41499,0.45776,0.43345,0.24766,1.19974,1.735,1.9573,1.29458,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7286.82,0.83539,1.17454,0.93063,1.00418,0,0.45753,0.43213,0.46116,0.31369,0.45439,0.42824,0.44945,0.25974,1.18074,1.72865,1.9956,1.28408,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7391.28,0.82499,1.1854,0.94401,0.9913,0,0.45976,0.44167,0.4442,0.30083,0.45701,0.43092,0.427,0.24461,1.19437,1.73888,1.98622,1.29427,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7501.85,0.82711,1.17368,0.95156,1.00216,0,0.4353,0.49149,0.44597,0.30924,0.43643,0.49249,0.44315,0.26486,1.18208,1.69255,1.98609,1.29019,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7615.35,0.81575,1.1403,0.90314,0.99406,0,0.4103,0.49905,0.43994,0.30721,0.39752,0.48464,0.42545,0.25043,1.19072,1.71787,1.97941,1.30556,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7727.87,0.80628,1.15366,0.91177,0.98785,0,0.36486,0.4971,0.44063,0.30201,0.3657,0.49668,0.43721,0.2506,1.18817,1.73528,2.0243,1.30745,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
